costs,nodes,techs,cost
monetary,CSTR,HFO_pp,779147.4003946747
monetary,CSTR,hvdc_132:MTKR,183.70533548692467
monetary,CSTR,hvdc_132:NBOR,915.9754959488787
monetary,CSTR,hvdc_220:MTKR,412.07936260912675
monetary,MTKR,L_hydro_pp,636296.4250233853
monetary,MTKR,S_hydro_pp,35730.06654329359
monetary,MTKR,hvdc_132:CSTR,0.0
monetary,MTKR,hvdc_132:NBOR,0.0
monetary,MTKR,hvdc_132:WSTR,165.21891729242452
monetary,MTKR,hvdc_220:CSTR,0.0
monetary,MTKR,hvdc_220:NBOR,0.0
monetary,NBOR,GT_pp,64238.60993435157
monetary,NBOR,HFO_pp,723778.8931912568
monetary,NBOR,L_hydro_pp,445149.59355538
monetary,NBOR,hvdc_132:CSTR,0.0
monetary,NBOR,hvdc_132:MTKR,6.979449749948718
monetary,NBOR,hvdc_132:WSTR,0.0
monetary,NBOR,hvdc_220:MTKR,0.0
monetary,NBOR,hvdc_220:WSTR,4343.50941742125
monetary,NBOR,on_wind_pp,64611.583209918055
monetary,WSTR,L_hydro_pp,1608674.0553610052
monetary,WSTR,S_hydro_pp,8711.71285381428
monetary,WSTR,bio_pp,145387.66046189598
monetary,WSTR,geo_pp,2679988.9805544787
monetary,WSTR,hvdc_132:MTKR,0.0
monetary,WSTR,hvdc_132:NBOR,0.0
monetary,WSTR,hvdc_220:NBOR,0.0
