nodes,techs,allowed_carrier_prod
CSTR,HFO_pp,1.0
CSTR,demand_power,0.0
CSTR,hvdc_132:MTKR,1.0
CSTR,hvdc_132:NBOR,1.0
CSTR,hvdc_220:MTKR,1.0
MTKR,L_hydro_pp,1.0
MTKR,S_hydro_pp,1.0
MTKR,demand_power,0.0
MTKR,hvdc_132:CSTR,1.0
MTKR,hvdc_132:NBOR,1.0
MTKR,hvdc_132:WSTR,1.0
MTKR,hvdc_220:CSTR,1.0
MTKR,hvdc_220:NBOR,1.0
NBOR,GT_pp,1.0
NBOR,HFO_pp,1.0
NBOR,L_hydro_pp,1.0
NBOR,demand_power,0.0
NBOR,hvdc_132:CSTR,1.0
NBOR,hvdc_132:MTKR,1.0
NBOR,hvdc_132:WSTR,1.0
NBOR,hvdc_220:MTKR,1.0
NBOR,hvdc_220:WSTR,1.0
NBOR,on_wind_pp,1.0
WSTR,L_hydro_pp,1.0
WSTR,S_hydro_pp,1.0
WSTR,bio_pp,1.0
WSTR,demand_power,0.0
WSTR,geo_pp,1.0
WSTR,hvdc_132:MTKR,1.0
WSTR,hvdc_132:NBOR,1.0
WSTR,hvdc_220:NBOR,1.0
